x2	x3	x4	x5	x6	y	year
397.5	42.2	50.7	78.3	65.8	27.8	1960
413.3	38.1	52.0	79.2	66.9	29.9	1961
439.2	40.3	54.0	79.2	67.8	29.8	1962
459.7	39.5	55.3	79.2	69.6	30.8	1963
492.9	37.3	54.7	77.4	68.7	31.2	1964
528.6	38.1	63.7	80.2	73.6	33.3	1965
560.3	39.3	69.8	80.4	76.3	35.6	1966
624.6	37.8	65.9	83.9	77.2	36.4	1967
666.4	38.4	64.5	85.5	78.1	36.7	1968
717.8	40.1	70.0	93.7	84.7	38.4	1969
768.2	38.6	73.2	106.1	93.3	40.4	1970
843.3	39.8	67.8	104.8	89.7	40.3	1971
911.6	39.7	79.1	114.0	100.7	41.8	1972
931.1	52.1	95.4	124.1	113.5	40.4	1973
1021.5	48.9	94.2	127.6	115.3	40.7	1974
1165.9	58.3	123.5	142.9	136.7	40.1	1975
1349.6	57.9	129.9	143.6	139.2	42.7	1976
1449.4	56.5	117.6	139.2	132.0	44.1	1977
1575.5	63.7	130.9	165.5	132.1	46.7	1978
1759.1	61.6	129.8	203.3	154.4	50.6	1979
1994.2	58.9	128.0	219.6	174.9	50.1	1980
2258.1	66.4	141.0	221.6	180.8	51.7	1981
2478.7	70.4	168.2	232.6	189.4	52.9	1982
